doc_id,cid,citation_type,citation_details,sql_query
COOR_CH70SU_ARTIINGE_S70-5DE,bafkreiey76tyo5euhld4c6cqmhjqbzfq5m6thxwjvwlmmf44ehivtwrbhq,CFR,"{'citation_type': 'CFR', 'title': '33', 'part': '328', 'section': '328.3', 'sql_query': ""SELECT * FROM cfr WHERE title = '33' AND part = '328'""}",SELECT * FROM cfr WHERE title = '33' AND part = '328'
COOR_CH70SU_ARTIINGE_S70-5DE,bafkreiey76tyo5euhld4c6cqmhjqbzfq5m6thxwjvwlmmf44ehivtwrbhq,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '230', 'section': '230.3', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '230'""}",SELECT * FROM cfr WHERE title = '40' AND part = '230'
COOR_CH34FL_ARTIIFLDAPR_DIV3PRFLHARE_S34-66GEST,bafkreigpstjx46jb7urjqrxzyii2agvuzwyme7e5s6gbvcazks75hspd7i,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1334', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1334'""}",SELECT * FROM usc WHERE title = '33' AND section = '1334'
COOR_CH38HIPR_ARTIVHIPR_DIV4OR_S38-141REPR,bafkreifjmdt7obzzkqzckic4zfr4b3l2uorttznycjkl5y6epu34sxbhmm,Public Law,"{'citation_type': 'Public Law', 'congress': '89', 'law_number': '655', 'sql_query': ""SELECT * FROM public_laws WHERE congress = '89' AND law_number = '655'""}",SELECT * FROM public_laws WHERE congress = '89' AND law_number = '655'
COOR_CH62SOWAMA_ARTIIIHAWA_DIV1GE_S62-74DE,bafkreigngq4c7wejqlqjke5abvudfodqclegnqg5abiz5gxvodpsvzc2ky,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '261', 'section': '261', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '261'""}",SELECT * FROM cfr WHERE title = '40' AND part = '261'
COOR_CH62SOWAMA_ARTIIIHAWA_DIV1GE_S62-74DE,bafkreigngq4c7wejqlqjke5abvudfodqclegnqg5abiz5gxvodpsvzc2ky,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '261', 'section': '261.33', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '261'""}",SELECT * FROM cfr WHERE title = '40' AND part = '261'
COOR_CH62SOWAMA_ARTIIIHAWA_DIV2GEFATRSTDI_S62-93PE,bafkreif56iiueeb23vsg3wppxcjo4pwfz7nhucwudb223pmpo3t3b652vm,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '122', 'section': '122.17', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '122'""}",SELECT * FROM cfr WHERE title = '40' AND part = '122'
PTIICOOR_CH10BUBURE,bafkreihci2shplenvdhdgasof6wbplocn7vshov2c3mrodixufhnlppzx4,USC,"{'citation_type': 'USC', 'title': '40', 'section': '3312', 'sql_query': ""SELECT * FROM usc WHERE title = '40' AND section = '3312'""}",SELECT * FROM usc WHERE title = '40' AND section = '3312'
PTIICOOR_CH26EN_ARTIINGE_S26-10SPDE,bafkreigd4v2tnjvnt2rgjtsya7vdfoa4iolairrtzogeex4m6bbmahgiti,USC,"{'citation_type': 'USC', 'title': '22', 'section': '1292', 'sql_query': ""SELECT * FROM usc WHERE title = '22' AND section = '1292'""}",SELECT * FROM usc WHERE title = '22' AND section = '1292'
PTIICOOR_CH26EN_ARTXHAWALVERAWAMA_S26-308DE,bafkreif2ey4vnm355dw3pduwnux3ex6iztatqp3ubn6oxv7iuaevn33mbm,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '261', 'section': '261', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '261'""}",SELECT * FROM cfr WHERE title = '40' AND part = '261'
PTIICOOR_CH26EN_ARTXHAWALVERAWAMA_S26-308DE,bafkreif2ey4vnm355dw3pduwnux3ex6iztatqp3ubn6oxv7iuaevn33mbm,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '261', 'section': '261', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '261'""}",SELECT * FROM cfr WHERE title = '40' AND part = '261'
PTIICOOR_CH26EN_ARTXHAWALVERAWAMA_S26-308DE,bafkreif2ey4vnm355dw3pduwnux3ex6iztatqp3ubn6oxv7iuaevn33mbm,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '260', 'section': '260', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '260'""}",SELECT * FROM cfr WHERE title = '40' AND part = '260'
PTIICOOR_CH26EN_ARTXHAWALVERAWAMA_S26-318WACLFU,bafkreig4pbtnw5smfgnyxm37gtakumwoycgqa7u4lrki647yprfq25knn4,Public Law,"{'citation_type': 'Public Law', 'congress': '96', 'law_number': '510', 'sql_query': ""SELECT * FROM public_laws WHERE congress = '96' AND law_number = '510'""}",SELECT * FROM public_laws WHERE congress = '96' AND law_number = '510'
PTIICOOR_CH34FL_ARTIINGE_S34-4DE,bafkreibgymaousvb47cl7n47wsstfo7yjnthhgez3hdzfq6ifb3jtinq44,Public Law,"{'citation_type': 'Public Law', 'congress': '97', 'law_number': '348', 'sql_query': ""SELECT * FROM public_laws WHERE congress = '97' AND law_number = '348'""}",SELECT * FROM public_laws WHERE congress = '97' AND law_number = '348'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1317(b)', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1317(b)'""}",SELECT * FROM usc WHERE title = '33' AND section = '1317(b)'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1342', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1342'""}",SELECT * FROM usc WHERE title = '33' AND section = '1342'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1345', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1345'""}",SELECT * FROM usc WHERE title = '33' AND section = '1345'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1317(b)', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1317(b)'""}",SELECT * FROM usc WHERE title = '33' AND section = '1317(b)'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1342', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1342'""}",SELECT * FROM usc WHERE title = '33' AND section = '1342'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1317(c)', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1317(c)'""}",SELECT * FROM usc WHERE title = '33' AND section = '1317(c)'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1292', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1292'""}",SELECT * FROM usc WHERE title = '33' AND section = '1292'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.5', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-152DE,bafkreifn56rumvgcjzm5s73zzvn3tat7xmrarrj2dyyk3szfjzzvdhsv74,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.6', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-155FECAPRST,bafkreidhw3ezx4ulfb6ckwpdtanmx35xri7fp763holcz3mu427m7n4b5q,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.12', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-156MOFECAPRST,bafkreiad3drdt2luijhqu2zzyyqhoswpqxe6cjnkto5cxowhe54gvssck4,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.7', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-156MOFECAPRST,bafkreiad3drdt2luijhqu2zzyyqhoswpqxe6cjnkto5cxowhe54gvssck4,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.7', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-170PECORE,bafkreid5e4r6zinhgprbw62hsugtbzb42fjhuwzyc74lxgqcpbvcpmmdnu,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '136', 'section': '136', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '136'""}",SELECT * FROM cfr WHERE title = '40' AND part = '136'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV1GE_S70-170PECORE,bafkreid5e4r6zinhgprbw62hsugtbzb42fjhuwzyc74lxgqcpbvcpmmdnu,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '136', 'section': '136', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '136'""}",SELECT * FROM cfr WHERE title = '40' AND part = '136'
PTIICOOR_CH70UT_ARTIIIWAPRRE_DIV2WACOPE_S70-182AP,bafkreifxl6rxmnxpuplanv453cakabdjujwrix2jfr2johkoxarulxba2i,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '136', 'section': '136', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '136'""}",SELECT * FROM cfr WHERE title = '40' AND part = '136'
PTIICOOR_CH58SOWAMA_ARTIICOSTDI_S58-36STDI,bafkreigepkzokhnbh6whkvy6rfl4jawo72lr4i2xjepd2akffvevmovyu4,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '243', 'section': '243.200', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '243'""}",SELECT * FROM cfr WHERE title = '40' AND part = '243'
PTIICOOR_CH58SOWAMA_ARTIINGE_S58-2DE,bafkreiexkfkwwxnlq4gjihvtcoporz3n3vkh2nwrgnqrb53awz7y5icfge,USC,"{'citation_type': 'USC', 'title': '42', 'section': '2011', 'sql_query': ""SELECT * FROM usc WHERE title = '42' AND section = '2011'""}",SELECT * FROM usc WHERE title = '42' AND section = '2011'
PTIICOOR_CH58SOWAMA_ARTIINGE_S58-2DE,bafkreiexkfkwwxnlq4gjihvtcoporz3n3vkh2nwrgnqrb53awz7y5icfge,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '261', 'section': '261.4', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '261'""}",SELECT * FROM cfr WHERE title = '40' AND part = '261'
PTIICOOR_CH58SOWAMA_ARTIINGE_S58-2DE,bafkreiexkfkwwxnlq4gjihvtcoporz3n3vkh2nwrgnqrb53awz7y5icfge,Public Law,"{'citation_type': 'Public Law', 'congress': '92', 'law_number': '500', 'sql_query': ""SELECT * FROM public_laws WHERE congress = '92' AND law_number = '500'""}",SELECT * FROM public_laws WHERE congress = '92' AND law_number = '500'
PTIICOOR_CH78UT_ARTIIISEUS_S78-61GEPR,bafkreigzfje4wb2a22gxiyp6bvpbn3done54bzbjacshppo6g27ltayxrq,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1347', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1347'""}",SELECT * FROM usc WHERE title = '33' AND section = '1347'
PTIICOOR_CH78UT_ARTIIISEUS_S78-61GEPR,bafkreigzfje4wb2a22gxiyp6bvpbn3done54bzbjacshppo6g27ltayxrq,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1317', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1317'""}",SELECT * FROM usc WHERE title = '33' AND section = '1317'
PTIICOOR_CH78UT_ARTIIISEUS_S78-61GEPR,bafkreigzfje4wb2a22gxiyp6bvpbn3done54bzbjacshppo6g27ltayxrq,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1345', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1345'""}",SELECT * FROM usc WHERE title = '33' AND section = '1345'
PTIICOOR_CH78UT_ARTIIISEUS_S78-61GEPR,bafkreigzfje4wb2a22gxiyp6bvpbn3done54bzbjacshppo6g27ltayxrq,USC,"{'citation_type': 'USC', 'title': '42', 'section': '6901', 'sql_query': ""SELECT * FROM usc WHERE title = '42' AND section = '6901'""}",SELECT * FROM usc WHERE title = '42' AND section = '6901'
PTIICOOR_CH78UT_ARTIIISEUS_S78-61GEPR,bafkreigzfje4wb2a22gxiyp6bvpbn3done54bzbjacshppo6g27ltayxrq,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1342', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1342'""}",SELECT * FROM usc WHERE title = '33' AND section = '1342'
PTIICOOR_CH78UT_ARTIIISEUS_S78-61GEPR,bafkreigzfje4wb2a22gxiyp6bvpbn3done54bzbjacshppo6g27ltayxrq,USC,"{'citation_type': 'USC', 'title': '33', 'section': '1292', 'sql_query': ""SELECT * FROM usc WHERE title = '33' AND section = '1292'""}",SELECT * FROM usc WHERE title = '33' AND section = '1292'
PTIICOOR_CH78UT_ARTIIISEUS_S78-61GEPR,bafkreigzfje4wb2a22gxiyp6bvpbn3done54bzbjacshppo6g27ltayxrq,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.11', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-62GESEUSRE,bafkreifzqlzs35dh77grtvlfcd4uwwetnp2mmdiftwgbpoczzegxnpvp3e,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '261', 'section': '261.21', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '261'""}",SELECT * FROM cfr WHERE title = '40' AND part = '261'
PTIICOOR_CH78UT_ARTIIISEUS_S78-62GESEUSRE,bafkreifzqlzs35dh77grtvlfcd4uwwetnp2mmdiftwgbpoczzegxnpvp3e,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.6', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-62GESEUSRE,bafkreifzqlzs35dh77grtvlfcd4uwwetnp2mmdiftwgbpoczzegxnpvp3e,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.6', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-62GESEUSRE,bafkreifzqlzs35dh77grtvlfcd4uwwetnp2mmdiftwgbpoczzegxnpvp3e,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.13', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-62GESEUSRE,bafkreifzqlzs35dh77grtvlfcd4uwwetnp2mmdiftwgbpoczzegxnpvp3e,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.15', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-62GESEUSRE,bafkreifzqlzs35dh77grtvlfcd4uwwetnp2mmdiftwgbpoczzegxnpvp3e,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.7', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-62GESEUSRE,bafkreifzqlzs35dh77grtvlfcd4uwwetnp2mmdiftwgbpoczzegxnpvp3e,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.4', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-64WADIPEAPIS,bafkreietc35lydqrpg7so2drvmtpwnd3use7d26btew6zp5iu7tem2u4ti,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.3', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-64WADIPEAPIS,bafkreietc35lydqrpg7so2drvmtpwnd3use7d26btew6zp5iu7tem2u4ti,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.12', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-64WADIPEAPIS,bafkreietc35lydqrpg7so2drvmtpwnd3use7d26btew6zp5iu7tem2u4ti,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.13', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.6', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.6', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.12', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.12', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.6', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.12', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '261', 'section': '261.30', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '261'""}",SELECT * FROM cfr WHERE title = '40' AND part = '261'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '261', 'section': '261.30', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '261'""}",SELECT * FROM cfr WHERE title = '40' AND part = '261'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '136', 'section': '136', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '136'""}",SELECT * FROM cfr WHERE title = '40' AND part = '136'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '403', 'section': '403.12', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '403'""}",SELECT * FROM cfr WHERE title = '40' AND part = '403'
PTIICOOR_CH78UT_ARTIIISEUS_S78-65RERE,bafkreidtj2owacc5to3ew3oaafdm3vaxctgvainpgebj5kp4fcc6iauxyy,CFR,"{'citation_type': 'CFR', 'title': '40', 'part': '136', 'section': '136', 'sql_query': ""SELECT * FROM cfr WHERE title = '40' AND part = '136'""}",SELECT * FROM cfr WHERE title = '40' AND part = '136'
